	L-1	L-2	L-3	M-1	M-10	M-11	M-12	M-13	M-14	M-15	M-16	M-17	M-18	M-19	M-2	M-20	M-21	M-22	M-23	M-24	M-25	M-26	M-27	M-28	M-29	M-3	M-30	M-31	M-32	M-33	M-34	M-35	M-4	M-5	M-6	M-7	M-8	M-9
R0108V1	0.020614302861879	-0.0129853590925798	-0.0102228060246662	0.0525647219306828	-0.00331582770956697	-0.0077807486819603	0.0356086801659395	0.0193286783390434	0.0707435674307105	-0.0211257041695385	-0.0144838717231916	0.0384144422571579	-0.00957144110774789	-0.00977419585729774	-0.0135658978467881	0.0254634511409405	-0.0216664509217166	-0.00894684757907462	-0.0154547059700671	-0.0143269045583818	-0.0069829164007871	0.0306265196230095	0.0395840161793671	-0.0133661275926202	0.000120375540216822	0.0242169405025756	0.0205115247103387	-0.027131381279999	0.0698079651356484	-0.0349965482057465	0.0888083037185776	-0.0166399755554281	-0.00403128019621034	0.00484658088684249	-0.0205019748680487	0.00141515552203642	0.0662183925654333	0.0386390485186277
R0115V1	0.0355660036595534	0.048129754658903	0.00987987713766294	-0.0219092111451416	-0.00298580624319265	-0.00626590375491181	0.0161749467012843	0.0514105710992438	0.0604117361724214	-0.00422468601016242	-0.0322222393470253	-0.0186719588531139	-0.0430013544634107	0.0159133491823655	0.00528543069229333	0.0467941612623967	-0.0151148350799062	-0.0134020664375487	-0.00540514493996767	0.00860656827318884	0.04779730623685	-0.0153162081899308	-0.0275057214897685	0.0387434311585164	0.0276606228166911	0.0350096318580137	0.0596947989198703	-0.0186814883371926	-0.0646603221864834	0.0648226282665279	-0.0323227760292736	-0.0425969270848874	0.0443720423777228	0.0364332699387472	0.0415604976927242	0.0299679788828248	-0.0253108574319694	0.0435729614027817
R0147V1	0.101732654046585	0.0187272463547231	-0.0630647451995393	0.161633121855507	0.0186689915246133	0.0550303215269078	0.0526741677864165	0.16310738135709	0.0961583211193665	0.00278116477987881	-0.0305010690869255	-0.0393300226809206	0.0540021864866614	0.0683261006146552	0.0405236631100327	0.0925411960015051	0.0534195830355305	-0.00199258719156268	0.0638920552274288	0.0785994651168139	0.0422073880435758	0.0550761499504343	0.112427710869749	0.0486966487362427	-0.00471819613796158	-0.0020087463691425	0.145647608095433	0.0145164158348303	-0.076556061779309	0.0729877284264772	0.0827402002703941	-0.0255019510756864	0.0350811451224328	0.023293485478664	0.011417855617603	0.0520154681580815	0.151910064940211	0.0424211902475948
R0106V1	0.0475433065755004	0.0104666472948842	-0.0742813728192162	-0.026329422829056	-0.0346648527157184	-0.0649780398359168	0.0157137748396721	0.0501342932039924	-0.0377921679618245	-0.0733061620802741	-0.0572735720863584	0.031681209412327	-0.00393987981546001	0.0328419740648905	-0.0256833482199294	0.0904354302752541	-0.0355009539221074	-0.0360743114245583	-0.00547443244630805	-0.00229366429242498	0.00436690836652613	-0.0214700904458567	0.01712702523806	0.00337413965364646	0.0275715418683894	0.0319258216357205	0.0547932043844031	-0.0378241820373358	0.0514424461665348	-0.0246512678353129	-0.0415205382377407	-0.0560190518972743	0.0017012802859384	0.0229930349930782	0.0226192457638505	-0.00109876467265265	0.0419381002655142	0.0261598928675316
R0138V1	-0.058393692847656	-0.0326497324869931	0.0212140276209833	-0.0129871939353601	0.014806514276547	-0.0489310629159963	0.0519874817902317	0.00155487493273081	-0.0409607040589954	-0.0486925040056101	0.0420671617862095	-0.0161262101754183	-0.00317733800908874	-0.0742368122683334	0.0574303730644434	0.0108507991008457	-0.0197635799971053	-0.00928553729061538	-0.0496224530231586	-0.0114970576775615	0.0266687191199675	-0.00818906067062893	-0.0253941487090526	-0.016870710541133	-0.0468599358919069	0.0360129460357543	-0.00946330104067871	-0.037049103075434	0.0258339513510747	-0.0121425138609218	0.0234275546835193	-0.0549278065917697	-0.00815718961202919	0.0102111059227647	-0.0268820461081692	0.0415971134965032	-0.0592058286715346	-0.034203189779746
R0101V1	0.0416606808336428	-0.0146685200192196	-0.0650349969280727	-0.0302694574252342	0.00966050917613223	0.00943183121663836	-0.0344905443711471	-0.042527201031191	0.0448687692643524	-0.0404007473002059	-0.041726465513895	0.0276181504472191	-0.0566191056936834	0.0240447239719178	-0.0322600734691718	-0.0186060210126576	-0.000208278871867152	-0.022169209771107	-0.0243501283602255	-0.0444475968427385	0.0224057775738446	0.00300967988780762	-0.0199275773246028	-0.0174117502647347	-0.00241801511542084	-0.02545576142376	-0.0262283218005823	-0.0261074539243803	-0.0370294631832609	-0.0283335567743389	-0.0407922315442781	-0.0225144016519854	-0.00411598711681866	-0.0184908840582495	-0.012216872856934	-0.0310342884581164	0.000513898468336906	-0.0194379534589846
R0105V1	0.0144914427775283	0.0454969895420857	-0.0650173067613122	-0.0106618653039246	0.0165851502981393	-0.0395627353965993	0.0392799649772033	-0.00190726129311991	-0.00102463101426974	0.00730731501877511	0.0182147026818243	0.00710260710871131	-0.0298410321815584	-0.00911576130874355	0.00351926498339526	-0.0374730969656907	0.0191964023018863	-0.00359361225961354	0.0466675242083335	-0.00591350106275563	-0.039742704817165	0.0946107830003412	0.00469009167531665	-0.0568476226897599	-0.0700575692179648	-0.014979440685992	-0.0367859477729937	0.0409955627555841	0.0726756125100686	-0.0225291984582714	-0.0244934867112713	-0.000207734218823211	-0.0575972271251222	0.0344427091768048	-0.0462578921988742	-0.00281004902768623	0.0330124629414516	-0.0294059618497128
R0146V1	0.0512062877338737	0.0461240178395439	-0.0556676983837284	-0.00993532648602434	-0.046610537565766	0.0104724944598275	0.00820265453233875	0.0149091125159553	-0.0326404912744425	0.00423343087350489	-0.0228513018320387	-0.0449045053962104	-0.0379342632084325	-0.0775497479624789	-0.0376343832477753	0.0166810878427608	-0.0363906026083814	-0.0292123602088946	-0.0171706898425033	-0.0147403711063615	-0.0537429130375546	-0.0254917236740122	-0.0105910885287678	-0.0255579357999048	0.0148401727942925	0.123503543947643	0.0447327003272875	0.00454373296988449	-0.0288916722927812	-0.0165875548839097	-0.00328676342771585	-0.0293712449268511	-0.0235025638591514	-0.00578810390787143	-0.0142326620478872	0.0139352044923044	0.0215235833445678	-0.0536589608849482
R0155V1	0.0855699626657873	0.0366717670830898	-0.0481656280745337	-0.0314302518650254	-0.0154223893110891	-0.0228417164735614	0.0105807620627093	0.0538965566314937	-0.0146544018317623	0.0110688024067343	-0.00109274162713762	-0.00255591108251373	-0.0424207992289884	-0.0560628521667391	0.000426162873972792	0.0611744713020418	0.120360823338043	0.000806574376099392	0.00979391916306988	0.0279999309134789	-0.0237297869052008	0.0407556094389242	-0.0109851571115889	-0.0160592771018725	0.0452180173019295	0.0450803178841401	0.0319390662410097	0.0489411319104056	-0.0233136115291956	0.0384925500828577	-0.0291501372638199	-0.0233400282472448	-0.0220883737293754	0.0290481657403796	-0.0209675906449566	0.0251556308911948	0.00399435649702782	-0.00676300033775761
R0133V1	-0.0529888741838065	-0.0154585582045677	-0.0025910387472073	0.0521793867022699	0.0340227056092213	0.0591462238397141	-0.0442755102661019	-0.0186174074865872	-0.0271313518844862	-0.0110223209609843	-0.0553567761600232	0.0281918768674013	-0.0556416254306019	-0.0486496156162102	-0.052791009481647	-0.0132282660435611	-0.016262507771334	-0.0332000674892626	0.0140408787617602	-0.0221290775170246	0.103432807870534	0.0299080809769547	0.0146782195415694	0.0337281061287452	-0.0281528055644727	-0.0187305442183188	-0.0403966854689514	0.0273627479555133	0.0225054451454058	-0.0443037124782318	0.0786785110360636	0.00151961172535792	0.0042574074113911	-0.0688495626282933	0.0692516913076893	-0.0569375456295569	0.0158754808170019	-0.0174523052745984
