,module,kME,kIN,rename
CAr,grey,0.0639315387963728,0.00162828438253837,L2-CAr
CDCAr,turquoise,-0.113710288863139,0.480145633623322,L3-CDCAr
DCAr,turquoise,0.832901853593706,1.44223107784555,L3-DCAr
GCAr,blue,0.600397741989116,0.152752432401932,L1-GCAr
GCDCAr,blue,0.878705445681788,0.554362795378301,L1-GCDCAr
GDCAr,turquoise,0.845015389246396,1.50125128817907,L3-GDCAr
GLCAr,turquoise,0.670861357793377,0.391519670870561,L3-GLCAr
GUDCAr,grey,0.890348765810914,0.0762868683801685,L2-GUDCAr
LCAr,turquoise,0.703198553010048,0.496977266535021,L3-LCAr
TCAr,blue,0.424591147494522,0.149820139231344,L1-TCAr
TCDCAr,blue,0.699068850212012,0.185353725916928,L1-TCDCAr
TDCAr,turquoise,0.722489409162876,0.70136005295105,L3-TDCAr
TLCAr,turquoise,0.590358104072171,0.130509596819842,L3-TLCAr
TUDCAr,grey,0.686398578519095,0.0360286871686708,L2-TUDCAr
UDCAr,grey,0.691311250516371,0.0476480567425392,L2-UDCAr
conBAr,blue,0.821995796681295,0.39750155258392,L1-conBAr
UNconBAr,turquoise,0.351936015379399,1.13003376844668,L3-UNconBAr
BAr1,turquoise,0.34659859912281,1.08277846846189,L3-BAr1
PrimaryBAr,blue,0.802138287360233,0.773881654710049,L1-PrimaryBAr
SecondaryBAf,turquoise,0.917418796962192,1.86649496265327,L3-SecondaryBAf
BAr2,blue,0.724394533050313,0.632955878319745,L1-BAr2
BA12ar,turquoise,0.878899386532585,2.13840817659469,L3-BA12ar
un12aBAr,blue,0.609891091964532,0.429549125817196,L1-un12aBAr
BAr3,turquoise,0.857536394737347,2.00736509389774,L3-BAr3
BAr4,turquoise,0.685616723594581,0.953022810351549,L3-BAr4
BAr5,turquoise,0.644024351315771,0.926704791146327,L3-BAr5
TBAnonS,grey,0.308404842326228,0.00632628566729521,L2-TBAnonS
TBAS,turquoise,0.470299220041677,0.251399529877121,L3-TBAS
DCA_species,turquoise,0.960042848264893,2.60713034522642,L3-DCA_species
