,module,kME,kIN,rename,HOMAIR_estimate,HOMAIR_p.value,HOMAIR_p.adjust,HOMAIR.adj.partial_estimate,HOMAIR.adj.partial_p.value,HOMAIR.adj.partial_p.adjust
CAr,grey,0.0639315387963728,0.00162828438253837,L2-CAr,0.0786585505103536,0.119520140871527,0.165919820390661,0.0368927100016363,0.467543721463002,0.713619364338267
CDCAr,turquoise,-0.113710288863139,0.480145633623322,L3-CDCAr,-0.0989520753742815,0.0499708836904109,0.0905722266888697,-0.090324394149726,0.0748011616098102,0.287251488678637
DCAr,turquoise,0.832901853593706,1.44223107784555,L3-DCAr,-0.140131833035034,0.00538753402086902,0.0248292389750017,-0.0749800422580767,0.139390244636954,0.350245673946476
GCAr,blue,0.600397741989116,0.152752432401932,L1-GCAr,0.259015145986041,1.9134640714047e-07,5.54904580707362e-06,0.1962000682721,9.61227482841882e-05,0.00278755970024146
GCDCAr,blue,0.878705445681788,0.554362795378301,L1-GCDCAr,0.130239660209671,0.00974654061434546,0.0248292389750017,0.0613441932069958,0.226777826786897,0.469754069772857
GDCAr,turquoise,0.845015389246396,1.50125128817907,L3-GDCAr,-0.0968229052405301,0.055132145892237,0.0940489547573455,-0.0325963747584786,0.520982837681564,0.730120542396258
GLCAr,turquoise,0.670861357793377,0.391519670870561,L3-GLCAr,-0.168659307672207,0.000788017866834423,0.00761750604606609,-0.127640882677078,0.0116377633835928,0.11249837937473
GUDCAr,grey,0.890348765810914,0.0762868683801685,L2-GUDCAr,0.0617344981697491,0.222046110363506,0.292697145479166,0.0319947843633941,0.5287079789766,0.730120542396258
LCAr,turquoise,0.703198553010048,0.496977266535021,L3-LCAr,-0.0785254882746957,0.120148835455306,0.165919820390661,-0.0226878587508222,0.655114333189289,0.826013724456061
TCAr,blue,0.424591147494522,0.149820139231344,L1-TCAr,0.199372058112235,6.89636231331905e-05,0.000999972535431262,0.121616910482693,0.016263047558995,0.117907094802714
TCDCAr,blue,0.699068850212012,0.185353725916928,L1-TCDCAr,0.117750584431482,0.0195430353858707,0.0404820018707322,0.0628452438489068,0.215591960018587,0.469754069772857
TDCAr,turquoise,0.722489409162876,0.70136005295105,L3-TDCAr,-0.0418565696904165,0.407957256851096,0.43817631291414,0.0107823598639185,0.831906364352804,0.861617305936832
TLCAr,turquoise,0.590358104072171,0.130509596819842,L3-TLCAr,-0.0491858235439852,0.330775117151069,0.375651297493741,-0.00669669972796165,0.89512176347675,0.89512176347675
TUDCAr,grey,0.686398578519095,0.0360286871686708,L2-TUDCAr,0.109967385528904,0.0292805328353072,0.0566090301482607,0.0739486815507991,0.144929244391645,0.350245673946476
UDCAr,grey,0.691311250516371,0.0476480567425392,L2-UDCAr,0.0346969269138651,0.492804348123923,0.510404503414063,0.0260503126415132,0.608029541793552,0.801493486909682
conBAr,blue,0.821995796681295,0.39750155258392,L1-conBAr,0.129328752337482,0.0102741678517248,0.0248292389750017,0.0889823203107787,0.0792417899803135,0.287251488678637
UNconBAr,turquoise,0.351936015379399,1.13003376844668,L3-UNconBAr,-0.129328752337482,0.0102741678517248,0.0248292389750017,-0.0889823203107787,0.0792417899803135,0.287251488678637
BAr1,turquoise,0.34659859912281,1.08277846846189,L3-BAr1,-0.129328752337482,0.0102741678517248,0.0248292389750017,-0.0889823203107787,0.0792417899803135,0.287251488678637
PrimaryBAr,blue,0.802138287360233,0.773881654710049,L1-PrimaryBAr,0.131769965664838,0.00891412494438911,0.0248292389750017,0.0431537315427447,0.395392707294962,0.637021583975217
SecondaryBAf,turquoise,0.917418796962192,1.86649496265327,L3-SecondaryBAf,-0.131769965664838,0.00891412494438907,0.0248292389750017,-0.0431537315427447,0.395392707294962,0.637021583975217
BAr2,blue,0.724394533050313,0.632955878319745,L1-BAr2,0.131769965664838,0.00891412494438911,0.0248292389750017,0.0431537315427447,0.395392707294962,0.637021583975217
BA12ar,turquoise,0.878899386532585,2.13840817659469,L3-BA12ar,-0.048578227513602,0.336790818442664,0.375651297493741,0.0160850103187901,0.751505880048124,0.838218096976754
un12aBAr,blue,0.609891091964532,0.429549125817196,L1-un12aBAr,0.048578227513602,0.336790818442663,0.375651297493741,-0.0160850103187901,0.751505880048124,0.838218096976754
BAr3,turquoise,0.857536394737347,2.00736509389774,L3-BAr3,-0.048578227513602,0.336790818442664,0.375651297493741,0.0160850103187901,0.751505880048124,0.838218096976754
BAr4,turquoise,0.685616723594581,0.953022810351549,L3-BAr4,-0.0814447522776381,0.106936809572878,0.163219340927024,-0.0747374189568052,0.140678439625837,0.350245673946476
BAr5,turquoise,0.644024351315771,0.926704791146327,L3-BAr5,-0.0878597579503016,0.081934695551397,0.132005898388362,-0.082938238058675,0.101952594931848,0.328513917002622
TBAnonS,grey,0.308404842326228,0.00632628566729521,L2-TBAnonS,0.160350528028181,0.00142587436878722,0.0103375891737073,0.153508420720206,0.002366924677029,0.0343204078169204
TBAS,turquoise,0.470299220041677,0.251399529877121,L3-TBAS,0.0148326247563615,0.769426741943383,0.769426741943383,0.0138460967977891,0.785180801000778,0.843342341815651
DCA_species,turquoise,0.960042848264893,2.60713034522642,L3-DCA_species,-0.12776661700333,0.0112381621597179,0.0250697463562938,-0.0489219331915578,0.335243141866735,0.637021583975217
