,module,kME,kIN,rename,HOMAIR_estimate,HOMAIR_p.value,HOMAIR_p.adjust,HOMAIR.adj.partial_estimate,HOMAIR.adj.partial_p.value,HOMAIR.adj.partial_p.adjust
3-Indolepropionic acid,lightgreen,0.383456614522976,0.023871132548748,M17-3-Indolepropionic acid,0.0652556743063661,0.199047358674174,0.432229884655654,0.0805933692029176,0.1139133346317,0.318033882994779
5a-Dihydrotestosterone sulfate,cyan,0.919878938569171,0.776616170026492,M4-5a-Dihydrotestosterone sulfate,0.0307519933840324,0.545368193704515,0.875284887033482,0.0409114365070935,0.422835876762287,0.674518880252773
Androsterone sulfate,cyan,0.88112949857061,0.651469370094343,M4-Androsterone sulfate,0.00819345073367727,0.872028216721126,0.951646206828529,0.0168467544439168,0.741448186530265,0.884807715831316
Creatinine,yellowgreen,0.768700415378704,0.0300369424466989,M35-Creatinine,0.0363385482639888,0.474832880976891,0.834030007904679,0.0653859991700244,0.199899885526227,0.431968861466019
Dehydroepiandrosterone Sulfate,cyan,0.811210456963506,0.296929558066178,M4-Dehydroepiandrosterone Sulfate,0.0487577695316918,0.337493579504935,0.671543346974105,0.0718733666356272,0.15873726584679,0.382145269631161
Epiandrosterone sulfate,cyan,0.858462563376493,0.417532811415809,M4-Epiandrosterone sulfate,0.0421448672675276,0.407149639844809,0.756135045426074,0.05305934910715,0.298431643036279,0.559559330693024
Etiocholanolone sulfate,cyan,0.670090891004339,0.112685777236594,M4-Etiocholanolone sulfate,0.00811353650692,0.873265818916021,0.951646206828529,0.0339620590275692,0.505873641868734,0.736159404211964
Glutamic acid,red,0.261732229838608,0.0467766177633058,M25-Glutamic acid,0.165871559187414,0.001024371931551,0.0058750743133072,0.17540646090868,0.000536394886637983,0.00783190330486232
Glutamine,grey,0.105097165921817,0.0263182608759029,M14-Glutamine,-0.100968771428285,0.0465804515876036,0.159354176483907,-0.109823674659123,0.0309881982616021,0.159018385816116
Hippuric acid,lightgreen,0.574643944601037,0.0594526430378599,M17-Hippuric acid,0.017254643574988,0.734425287434873,0.951646206828529,0.040320346654183,0.429573762072566,0.675539383904438
Homoserine,grey,0.00272134056069109,0.0281732014382365,M14-Homoserine,-0.0710424224788623,0.161982811350059,0.378980368298426,-0.0372117213529715,0.46601648580899,0.699024728713485
Indolelactic acid,yellowgreen,0.781113898230571,0.0417733170885921,M35-Indolelactic acid,0.0914487853030019,0.071604531636126,0.224855665180001,0.0444684081156434,0.383610456477968,0.661982646134546
P-cresol sulfate,lightgreen,0.891398962520922,0.2561757300872,M17-P-cresol sulfate,-0.0170876799226559,0.736899763541674,0.951646206828529,0.0274021655757548,0.59145971987062,0.796661049643001
P-cresyl glucuronide,lightgreen,0.717512129310295,0.153225041768685,M17-P-cresyl glucuronide,-0.00667736267605792,0.895557119448525,0.951646206828529,0.0278338479443171,0.585629411481675,0.796661049643001
Phenyl sulfate,grey,0.0873539472659073,0.00303119255804107,M14-Phenyl sulfate,-0.0235655230663438,0.64311108875892,0.935870614238726,0.00509797692733933,0.920475186831304,0.967538413362924
phenylacetylglutamine,lightgreen,0.817100420106196,0.159495313018076,M17-phenylacetylglutamine,-0.0386796069960478,0.446829847513924,0.806776113566807,-0.0615780567679746,0.227417143080733,0.465189519315142
Phe-Phe,grey,-0.0759890455877401,0.00581902705008353,M14-Phe-Phe,0.0341840012745809,0.501430487713461,0.834030007904679,0.0340523213697564,0.504742953467786,0.736159404211964
Tryptophan,grey,0.039051235407693,0.00350170291837748,M14-Tryptophan,0.0457590493314722,0.3680794417344,0.710648427110971,0.0427205244068371,0.402600875585072,0.665315006263466
Uric acid,yellowgreen,0.835030426655165,0.0558267783390916,M35-Uric acid,0.0459551653675449,0.36602809487543,0.710648427110971,0.0243545406036227,0.63335519110373,0.8371699835149
FFA 9_0,darkgreen,0.68463461516406,0.0737932530109255,M5-FFA 9_0,0.0292206777863609,0.565568696237019,0.875284887033482,0.00235935192200909,0.963147940668862,0.975347269158549
FFA 10_0,darkgreen,0.892214184864104,0.265053410560684,M5-FFA 10_0,0.0547251401656853,0.281622358474189,0.578066946341757,0.018033718890038,0.72394899894771,0.876832638477041
FFA 11_0,darkgreen,0.863357636768245,0.198650509675085,M5-FFA 11_0,0.0715809261267688,0.158817061091104,0.377674718448357,0.0375524838643092,0.461940085449102,0.698281524516084
FFA 12_0,darkgreen,0.692153352267672,0.146678573371789,M5-FFA 12_0,0.0350101781069725,0.491139484065374,0.834030007904679,-0.0097882412472937,0.847985564745687,0.939529460939824
FFA 14_0,red,0.765512954894279,1.68397967157499,M25-FFA 14_0,0.0405340451687455,0.42532834554002,0.777830360728354,-0.014783585755237,0.772179488317949,0.893167456189611
FFA 14_1,red,0.696291513796484,1.22760698363298,M25-FFA 14_1,-0.00848018379473365,0.867590276216395,0.951646206828529,-0.0428553852331886,0.401115954218959,0.665315006263466
FFA 15_0,red,0.763863098460312,1.75073291073853,M25-FFA 15_0,0.0292682797556156,0.564935395723334,0.875284887033482,0.0140471047479095,0.783239153889351,0.893167456189611
FFA 16_0,red,0.841394092809135,3.34609757659175,M25-FFA 16_0,-0.0145743571048573,0.774463475215559,0.951646206828529,-0.0224996293361609,0.659452113719247,0.851610345531478
FFA 16_1,red,0.795902563098128,2.39183209971319,M25-FFA 16_1,0.0161349270176811,0.751071327076556,0.951646206828529,-0.0195817864947051,0.701341568751663,0.865579784218825
FFA 16_2,red,0.76304041885439,2.15703029616582,M25-FFA 16_2,0.0247380400949011,0.626673167261769,0.935870614238726,0.0142718677799982,0.779859166808741,0.893167456189611
FFA 16_3,red,0.792854233195227,2.34978272480408,M25-FFA 16_3,0.00721246282766709,0.887241095141797,0.951646206828529,-0.0047131329009685,0.926460825380467,0.967538413362924
FFA 17_0,red,0.907429692211963,4.51738105598568,M25-FFA 17_0,-0.0115064254761069,0.821030826225238,0.951646206828529,-0.0296591542117608,0.561275559812996,0.796661049643001
FFA 17_1,red,0.908698661483257,4.2968932644874,M25-FFA 17_1,0.0080527853855586,0.874206856053522,0.951646206828529,-0.0209486336468913,0.681596480444807,0.858827378213415
FFA 18_0,red,0.862191984998934,3.47292658676081,M25-FFA 18_0,0.00625175927258127,0.90217966584213,0.951646206828529,0.00205696763416186,0.967868321700491,0.975347269158549
FFA 18_1,red,0.898692894429022,4.22625707812326,M25-FFA 18_1,-0.00691594435108941,0.891847839098776,0.951646206828529,-0.0343342529389967,0.501219847134067,0.736159404211964
FFA 18_2,red,0.881894662796729,4.126963962462,M25-FFA 18_2,0.00663644842026232,0.896193452962386,0.951646206828529,-0.0275848645665141,0.588988942226994,0.796661049643001
FFA 18_3,red,0.811681917418305,2.43373116047521,M25-FFA 18_3,0.0499008283822735,0.326275967591533,0.656592114875077,0.0273785917598568,0.591778871789609,0.796661049643001
FFA 19_0,red,0.676189237294869,0.971946537725817,M25-FFA 19_0,0.034896218788714,0.492552229722157,0.834030007904679,0.0508555335554385,0.318979468222735,0.581317722461994
FFA 19_1,red,0.903280719548669,4.0214232395287,M25-FFA 19_1,0.00209234608755932,0.967188466612013,0.976895822421711,-0.0058558258645105,0.908701475027332,0.967538413362924
FFA 20_0,red,0.317927281650333,0.133497446405421,M25-FFA 20_0,0.0116850093093706,0.818301125543411,0.951646206828529,0.0613671249310704,0.229016378739762,0.465189519315142
FFA 20_1,red,0.853188200937783,2.88206821028153,M25-FFA 20_1,-0.0271913253112199,0.592878233496813,0.903212933842802,-0.0391098861994005,0.443564143540495,0.681063055042492
FFA 20_2,red,0.903274859096902,4.2598091232391,M25-FFA 20_2,-0.00775473793780572,0.878826165760256,0.951646206828529,-0.0358486562769243,0.482519600652856,0.718254367384022
FFA 20_3,red,0.857879862060688,3.12455438164787,M25-FFA 20_3,0.035940709964201,0.479685316512621,0.834030007904679,0.0219526188612371,0.667229421692051,0.855985113354933
FFA 20_4,red,0.672288266717841,1.0967060935035,M25-FFA 20_4,-0.0101858021063783,0.841281852500219,0.951646206828529,0.0163586627825657,0.748683451857267,0.884807715831316
FFA 20_5,orange,0.853499566237638,0.272840231434383,M21-FFA 20_5,0.00708800457400558,0.889174239442668,0.951646206828529,0.055262343486843,0.278790955980152,0.540916824764459
