,module,kME,kIN,rename
3-Indolepropionic acid,lightgreen,0.373422355123637,0.0221970905392992,M17-3-Indolepropionic acid
5a-Dihydrotestosterone sulfate,tan,0.918513727393592,0.770092923374641,M32-5a-Dihydrotestosterone sulfate
Androsterone sulfate,tan,0.876849402565674,0.639747492933466,M32-Androsterone sulfate
Creatinine,yellowgreen,0.772584269686947,0.0329070628270076,M35-Creatinine
Dehydroepiandrosterone Sulfate,tan,0.813052110499775,0.301304615615407,M32-Dehydroepiandrosterone Sulfate
Epiandrosterone sulfate,tan,0.863818870649887,0.424411668094812,M32-Epiandrosterone sulfate
Etiocholanolone sulfate,tan,0.663847721353701,0.107332972493141,M32-Etiocholanolone sulfate
Glutamic acid,black,0.267860687904359,0.0489370571886649,M1-Glutamic acid
Glutamine,grey,0.13036567243229,0.0290103655229048,M14-Glutamine
Hippuric acid,lightgreen,0.571016013085223,0.0566254157497867,M17-Hippuric acid
Homoserine,grey,0.0267280888262749,0.0309899325557168,M14-Homoserine
Indolelactic acid,yellowgreen,0.786408507820205,0.047158329115101,M35-Indolelactic acid
P-cresol sulfate,lightgreen,0.886971965192163,0.253129752149883,M17-P-cresol sulfate
P-cresyl glucuronide,lightgreen,0.720323185040651,0.153523682052929,M17-P-cresyl glucuronide
Phenyl sulfate,grey,0.092509257995118,0.00306568736994461,M14-Phenyl sulfate
phenylacetylglutamine,lightgreen,0.814778785378733,0.153771725499525,M17-phenylacetylglutamine
Phe-Phe,grey,-0.0800295277675885,0.00598050820418439,M14-Phe-Phe
Tryptophan,grey,0.0450121770733647,0.00354098394802072,M14-Tryptophan
Uric acid,yellowgreen,0.840314792188855,0.0626034704775957,M35-Uric acid
FFA 9_0,darkturquoise,0.688727309848167,0.0752702032819288,M11-FFA 9_0
FFA 10_0,darkturquoise,0.892697142578035,0.26694738868247,M11-FFA 10_0
FFA 11_0,darkturquoise,0.863665000067422,0.203325613562707,M11-FFA 11_0
FFA 12_0,darkturquoise,0.685981251228955,0.142892498204784,M11-FFA 12_0
FFA 14_0,black,0.766009962726893,1.70413271778431,M1-FFA 14_0
FFA 14_1,black,0.703725901396621,1.28165918551942,M1-FFA 14_1
FFA 15_0,black,0.766711575794576,1.81660332593633,M1-FFA 15_0
FFA 16_0,black,0.838924203836255,3.38986432207381,M1-FFA 16_0
FFA 16_1,black,0.801123619636726,2.44326050554486,M1-FFA 16_1
FFA 16_2,black,0.764478581136439,2.17525594509689,M1-FFA 16_2
FFA 16_3,black,0.791719665098487,2.32928524496207,M1-FFA 16_3
FFA 17_0,black,0.903825337490354,4.56204210629628,M1-FFA 17_0
FFA 17_1,black,0.915000202200012,4.46627917201886,M1-FFA 17_1
FFA 18_0,black,0.857508018175837,3.48303674988985,M1-FFA 18_0
FFA 18_1,black,0.902264752507703,4.35400923938221,M1-FFA 18_1
FFA 18_2,black,0.887028890822988,4.21248000216235,M1-FFA 18_2
FFA 18_3,black,0.810827437786105,2.45099602184106,M1-FFA 18_3
