	L-1	L-2	L-3	M-1	M-10	M-11	M-12	M-13	M-14	M-15	M-16	M-17	M-18	M-19	M-2	M-20	M-21	M-22	M-23	M-24	M-25	M-26	M-27	M-28	M-29	M-3	M-30	M-31	M-32	M-33	M-34	M-4	M-5	M-6	M-7	M-8	M-9
R0161V5	0.368757394554734	-0.108388173344967	-0.113863927914885	0.00779075338796433	-0.0303775185041881	-0.0499382960272336	-0.106262382922613	0.012590832751229	-0.225345629050544	-0.0855374322877585	-0.0686140268361589	0.148033290721365	-0.0311428967253064	-0.00636179141889674	0.00748336371166294	-0.0780001911794001	-0.00412561833313863	-0.133984141134536	-0.0445729540536339	-0.0133214938866847	-0.0562327046028889	0.0796949177169691	0.0752363365428406	-0.0229416766660457	-0.116513722879242	-0.00295016942396111	0.128285359856294	-0.068037598954871	-0.0456145545896554	-0.0445203885195444	0.0597215362880077	-0.126819843431277	-0.0267613225147179	-0.14043037341131	-0.0533346973580255	-0.0594033751941952	-0.115932988787488
R0160V5	-0.00461314098080531	0.021015275696279	0.00758288093218893	-0.122821079597582	-0.0523405366883966	-0.0695182727869815	-0.14126724925026	-0.0302636749316507	0.0167344696375215	0.104087027378983	-0.0833644496349356	-0.144002261324808	-0.0362607749873453	-0.0656255050152689	-0.0681083905737633	0.00147315864159005	-0.00563629946350411	-0.123324081430545	-0.0568311799965417	-0.0468740877751971	-0.0621743748908843	-0.0671015631777529	0.0265410657388762	-0.0163886630931095	-0.107733133714418	-0.0614889749334335	0.0604933936531079	-0.0739431007472334	0.0724282140943001	-0.09833223261058	-0.055662192917492	0.00111966402550315	-0.0553356276239533	-0.156287807959476	0.0252583611721105	-0.126916220910802	0.000312667714284534
R0105V5	-0.0164165624393176	0.0887748118692073	-0.105077603824196	-0.102978696053895	-0.0882595011484342	0.0404971267428254	-0.0886452901909302	-0.0485563908427326	-0.0662387160762188	-0.0915941299210644	-0.0164745986794002	-0.0822784545264018	0.0330212254696478	0.0366637185592579	0.062336145624065	-0.00449656905730459	-0.0463730639712939	-0.114250552046058	-0.0721759800243122	-0.0267563707712837	-0.0527175354286796	-0.0583187444124995	-0.0617837067777661	0.102896582625107	-0.0522253348318515	-0.0727560199153227	-0.053863674103919	-0.0782794788455188	-0.0949886082818009	-0.104189685335496	-0.00992044402977928	-0.0558602650382845	0.0122062497488184	-0.0604894176988631	-0.0876306244230408	-0.000988468622525515	0.0177944071252528
R0106V5	-0.0293250843634621	0.164936760479193	-0.110204615057434	-0.080196848475742	0.00709408912315573	0.0115220935633732	-0.01006134560581	-0.0270601642009147	0.0158544473861262	0.192336389576816	0.157813029888786	0.0255372072902032	-0.0341231653405637	-0.118800523805139	-0.0073463640364028	-0.0646045162985973	0.0168492332569098	-0.0683579426830654	-0.0496086993401589	-0.0374255050502884	-0.0610739902415356	0.0168959161596241	0.081236267617402	-0.0145618343719254	-0.0938732190280064	0.042909684390453	0.013530692785354	-0.0596473804278553	0.0784817697795334	-0.0432289770121279	-0.00916557681046083	0.0767585119261797	-0.0102198932654557	-0.131142737601673	0.0334041921847037	-0.155228989508387	0.0786928220853046
R0137V5	-0.00436494288890663	0.00957679560405292	-0.0103910652154736	-0.0246289404479932	-0.103291420830263	0.0551737421103912	-0.123493812884683	-0.0648727511875146	-0.0325313382614516	0.0260324267626259	-0.0462311212254995	-0.118446106878415	0.0555535499028359	-0.0287268818630776	0.0216632361039444	-0.00710438553204108	-0.0692487019476694	-0.0700643265787926	-0.0880002697739226	-0.0124078802828424	-0.0552105049569753	-0.045017566693384	-0.0336627002733766	0.0691656110076428	-0.0571879601806782	-0.0650848448454397	-0.0718775303517343	-0.0882836915500167	-0.0885768769259494	-0.109009378606339	-0.0902935691586161	-0.075394776146989	-0.0899810832691873	-0.0080045728842255	-0.0393451577603837	-0.0557507015344979	-0.023005115584312
R0140V5	-0.247881619345114	0.0605288112018132	0.205137612148868	-0.0206226562252042	0.2094228123321	0.163381623417358	0.0654793877338373	-0.0250719390753566	-0.0463164603946957	-0.0905862326019102	0.00883965930850502	-0.0109385022714078	0.162997723679392	0.114570140796964	0.0821458095983273	0.0884674356143689	-0.0343982241658142	0.00303063154006007	-0.0567159171470019	0.171374934407902	-0.0400894537670637	0.0488602971036203	0.293467612585407	0.0606082143869038	-0.0647746524434173	0.238938651775539	-0.0414443695135552	-0.0759451872149059	0.0853647714509951	0.109751172360785	0.0741340362760575	0.116856051463096	0.0210323137656028	-0.0455847718458803	0.157008902514957	-0.0997331813952628	-0.0317461110565763
R0103V5	-0.00425427614816575	-0.0668914411036784	-0.0663805655209098	-0.103610033856054	0.0419914232376593	0.0907463405543444	0.00035522397842971	-0.0568504041073004	-0.114054762912132	-0.150637862502412	0.122797284154461	0.211724711031714	-0.092339351793206	0.0302448443033069	-0.0174603898825628	0.000898542304653555	-0.0165764094606825	-0.0792164634583118	-0.0697623160936373	0.0746898965243974	-0.0400852103490911	0.0265939358645621	-0.0559656896024666	-0.0564608775705176	-0.0857194240066281	0.0971373770138536	-0.0478983501853176	-0.0769379114253434	0.0353894838677631	-0.102470596772575	0.0667539459048644	0.0377070362691208	0.40738907102778	-0.00281875346905859	-0.128925194954126	-0.137956335755644	0.0272286002823088
R0130V5	-0.135602895041418	0.0339064691086186	0.180921930097345	0.0793509614256698	0.0245929803494798	-0.0245808787561763	0.0794637652527591	-0.0186474463343838	-0.129124977853709	-0.0710368577373859	0.0101677745801043	0.207324902578057	0.0921192735592466	0.0594283132691495	0.107919605469481	0.0485830574073339	-0.0134869867205239	-0.150230459139952	-0.0420926719135969	0.0738631845639859	-0.0770258854416962	0.0542987062643092	0.0961118247842485	-0.00278823685121513	0.0145957100258042	0.0848672959844524	0.0866358537013984	-0.0604160793577507	-0.0141747078798381	-0.00528670041830611	0.0962595845004919	0.0328981029922669	0.259848090011443	-0.0181994408049736	0.042896559150485	-0.0571481140074095	0.0775950131289922
R0155V5	0.185693861069788	-0.18642352919504	-0.0996963532563015	-0.0429025421100899	-0.0726618443052992	-0.052691923730107	0.0581905535982045	-0.0651901174932747	-0.05777899338776	-0.0985122341126172	0.0453425322436846	-0.026721625699935	0.129194329547134	-0.0885539434530954	-0.0581109217763343	-0.0385953562138465	-0.0392876994810277	-0.113810359961161	-0.0852217926745216	-0.0219439925924845	-0.0488815413882156	-0.0503813510861243	0.137022942656037	-0.0340758872482115	-0.051028000194177	0.0556638660156586	-0.0306193143350276	-0.0785609180729753	0.202313111693912	0.0325240562155554	-0.00718161069466431	0.152508527250183	0.0633443301247476	-0.0467800842664473	0.108918486856972	-0.0695980386528911	0.067078364068462
R0144V5	-0.14155503617714	-0.00622994731143257	0.218959699166193	-0.0135425945724411	-0.00552727341808985	0.112520310467527	0.225665480787861	-0.0633305366468185	-0.0648597967472888	-0.159713098082397	0.194525702847336	0.164448883553706	0.0644099179322105	0.0271481585497198	-0.0930546191606093	0.0330409546563124	-0.0281704650996012	-0.0708300107932249	-0.0649715092017937	0.0637917848969705	-0.0498696686045338	-0.0900218074929463	0.00321024883900925	-0.00985309115914886	0.0366199269413067	0.151162398234098	-0.0752420839872584	-0.0318021115361117	0.118117334680057	-0.11721452167381	-0.0574521034291697	0.242292962838397	0.269168180330419	-0.0119633323744896	-0.00279380840082534	0.0265042257754463	-0.0662287826282685
