,module,kME,kIN,rename
CAr,grey,0.409680298838873,0.0147353521712181,L2-CAr
CDCAr,grey,0.807760982409968,0.416098328588188,L2-CDCAr
DCAr,turquoise,0.813584929033339,1.15070669370622,L3-DCAr
GCAr,blue,0.529876399026974,0.140079984524283,L1-GCAr
GCDCAr,blue,0.850664609578361,0.302702741467205,L1-GCDCAr
GDCAr,turquoise,0.914972786548617,1.91925128092486,L3-GDCAr
GLCAr,turquoise,0.545416691282071,0.286188651229942,L3-GLCAr
GUDCAr,grey,-0.194115669906084,0.0551519197465384,L2-GUDCAr
LCAr,turquoise,0.763657689274599,0.517203234545533,L3-LCAr
TCAr,blue,0.493169806041749,0.224621729039671,L1-TCAr
TCDCAr,blue,0.606376852065114,0.142609119490257,L1-TCDCAr
TDCAr,turquoise,0.758998354028736,0.845485454833733,L3-TDCAr
TLCAr,turquoise,0.505618499373315,0.0504411812987327,L3-TLCAr
TUDCAr,grey,-0.342718070017416,0.0299393867631088,L2-TUDCAr
UDCAr,grey,-0.0727096161813688,0.0318011570265913,L2-UDCAr
conBAr,blue,0.76252367535973,0.249259114585656,L1-conBAr
UNconBAr,grey,0.938506121396346,0.971667236326015,L2-UNconBAr
BAr1,grey,0.909291014465119,0.955822916415336,L2-BAr1
PrimaryBAr,blue,0.78187183827183,0.6266650840936,L1-PrimaryBAr
SecondaryBAf,turquoise,0.840304831018393,1.09021664623337,L3-SecondaryBAf
BAr2,blue,0.680353066572217,0.520210460375495,L1-BAr2
BA12ar,turquoise,0.876628306456107,2.29827457384523,L3-BA12ar
un12aBAr,blue,0.493667201494335,0.1830850986662,L1-un12aBAr
BAr3,turquoise,0.893522512856783,2.33349854685685,L3-BAr3
BAr4,turquoise,0.713028740031718,1.03878962382942,L3-BAr4
BAr5,turquoise,0.680323721166131,0.965218137329457,L3-BAr5
TBAnonS,grey,-0.495942561233579,0.00755834387150833,L2-TBAnonS
TBAS,turquoise,0.592374649076993,0.337084414172182,L3-TBAS
DCA_species,turquoise,0.954134022677007,2.73704608512576,L3-DCA_species
