,module,kME,kIN,rename,HbA1C_estimate,HbA1C_p.value,HbA1C_p.adjust,HbA1C.adj.partial_estimate,HbA1C.adj.partial_p.value,HbA1C.adj.partial_p.adjust
CAr,grey,0.409680298838873,0.0147353521712181,L2-CAr,-0.0295570139527904,0.766943885815134,0.847297918131787,-0.0265730974037222,0.792985000583608,0.919862600676985
CDCAr,grey,0.807760982409968,0.416098328588188,L2-CDCAr,0.0670248919491942,0.501148533448674,0.805422022934259,0.0492174842970345,0.626767338357548,0.843724879805038
DCAr,turquoise,0.813584929033339,1.15070669370622,L3-DCAr,0.0911648633000949,0.359750990495008,0.805422022934259,0.0821303735555022,0.416589922812227,0.843724879805038
GCAr,blue,0.529876399026974,0.140079984524283,L1-GCAr,-0.0391854768701736,0.694329330115741,0.805422022934259,-0.0217266000944954,0.83011058375245,0.925892574185425
GCDCAr,blue,0.850664609578361,0.302702741467205,L1-GCDCAr,-0.0942312176997418,0.343750987296855,0.805422022934259,-0.0879730807957524,0.384103957826082,0.843724879805038
GDCAr,turquoise,0.914972786548617,1.91925128092486,L3-GDCAr,0.0966627190527327,0.331387072357876,0.805422022934259,0.0946651751273153,0.34883259812209,0.843724879805038
GLCAr,turquoise,0.545416691282071,0.286188651229942,L3-GLCAr,-0.0428158832402506,0.667612052850763,0.805422022934259,-0.0522268951616528,0.60581589464064,0.843724879805038
GUDCAr,grey,-0.194115669906084,0.0551519197465384,L2-GUDCAr,-0.00525739398862262,0.95796623686572,0.95796623686572,-0.0167469006055481,0.868648761346453,0.930933715780857
LCAr,turquoise,0.763657689274599,0.517203234545533,L3-LCAr,0.0267070308719646,0.788863578950284,0.847297918131787,0.0128749708194952,0.898832553167724,0.930933715780857
TCAr,blue,0.493169806041749,0.224621729039671,L1-TCAr,-0.0182252694617638,0.855014523692601,0.885550756681623,0.00466206820751221,0.96328252243591,0.96328252243591
TCDCAr,blue,0.606376852065114,0.142609119490257,L1-TCDCAr,-0.0653843648197601,0.511706354696497,0.805422022934259,-0.0493396611212503,0.625910793362792,0.843724879805038
TDCAr,turquoise,0.758998354028736,0.845485454833733,L3-TDCAr,0.0556490072185439,0.576628611395944,0.805422022934259,0.0636598478667675,0.529196154864264,0.843724879805038
TLCAr,turquoise,0.505618499373315,0.0504411812987327,L3-TLCAr,-0.086461483821512,0.3851716147093,0.805422022934259,-0.090661826447679,0.369682051354853,0.843724879805038
TUDCAr,grey,-0.342718070017416,0.0299393867631088,L2-TUDCAr,0.0474064114136993,0.634417592500205,0.805422022934259,0.0403140804743053,0.690457494562886,0.843724879805038
UDCAr,grey,-0.0727096161813688,0.0318011570265913,L2-UDCAr,-0.113367390983917,0.254206339573928,0.805422022934259,-0.133320681794026,0.186049388966254,0.843724879805038
conBAr,blue,0.76252367535973,0.249259114585656,L1-conBAr,-0.0676194454054991,0.497350472326074,0.805422022934259,-0.0506107482815828,0.617029225894645,0.843724879805038
UNconBAr,grey,0.938506121396346,0.971667236326015,L2-UNconBAr,0.0676194454054991,0.497350472326076,0.805422022934259,0.0506107482815828,0.617029225894645,0.843724879805038
BAr1,grey,0.909291014465119,0.955822916415336,L2-BAr1,0.0676194454054991,0.497350472326076,0.805422022934259,0.0506107482815828,0.617029225894645,0.843724879805038
PrimaryBAr,blue,0.78187183827183,0.6266650840936,L1-PrimaryBAr,-0.0477019046192828,0.632304572882732,0.805422022934259,-0.0392461807078337,0.698255072942101,0.843724879805038
SecondaryBAf,turquoise,0.840304831018393,1.09021664623337,L3-SecondaryBAf,0.0477019046192828,0.632304572882732,0.805422022934259,0.0392461807078337,0.698255072942101,0.843724879805038
BAr2,blue,0.680353066572217,0.520210460375495,L1-BAr2,-0.0477019046192828,0.632304572882732,0.805422022934259,-0.0392461807078337,0.698255072942101,0.843724879805038
BA12ar,turquoise,0.876628306456107,2.29827457384523,L3-BA12ar,0.0402369556678982,0.686550816845888,0.805422022934259,0.044158580186853,0.662657617917446,0.843724879805038
un12aBAr,blue,0.493667201494335,0.1830850986662,L1-un12aBAr,-0.0402369556678982,0.686550816845889,0.805422022934259,-0.044158580186853,0.662657617917446,0.843724879805038
BAr3,turquoise,0.893522512856783,2.33349854685685,L3-BAr3,0.0402369556678982,0.686550816845888,0.805422022934259,0.044158580186853,0.662657617917446,0.843724879805038
BAr4,turquoise,0.713028740031718,1.03878962382942,L3-BAr4,0.102780676196423,0.30154839748998,0.805422022934259,0.0889124491664002,0.379027291211855,0.843724879805038
BAr5,turquoise,0.680323721166131,0.965218137329457,L3-BAr5,0.101178684939157,0.309185764193956,0.805422022934259,0.0877755745441447,0.385176537625264,0.843724879805038
TBAnonS,grey,-0.495942561233579,0.00755834387150833,L2-TBAnonS,-0.071054643153039,0.475705118391115,0.805422022934259,-0.0889168380556855,0.379003667982278,0.843724879805038
TBAS,turquoise,0.592374649076993,0.337084414172182,L3-TBAS,0.0879033183323578,0.377266322448802,0.805422022934259,0.0609061607489772,0.547198472680339,0.843724879805038
DCA_species,turquoise,0.954134022677007,2.73704608512576,L3-DCA_species,0.076873559850394,0.440231127040928,0.805422022934259,0.0689068834706002,0.495734904388323,0.843724879805038
