,module,kME,kIN,rename,HbA1C_estimate,HbA1C_p.value,HbA1C_p.adjust,HbA1C.adj.partial_estimate,HbA1C.adj.partial_p.value,HbA1C.adj.partial_p.adjust
3-Indolepropionic acid,grey,0.07888554090544,0.0129069676027673,M14-3-Indolepropionic acid,0.0243960266284543,0.806760471072234,0.932126283769128,0.0252853542855937,0.802808170934483,0.926317120309018
5a-Dihydrotestosterone sulfate,grey60,0.925859238301807,0.910727388167092,M15-5a-Dihydrotestosterone sulfate,-0.127702375239873,0.198620872775017,0.895130673470853,-0.155039039201882,0.12350496692081,0.878574733048664
Androsterone sulfate,grey60,0.864054366133552,0.724161880283375,M15-Androsterone sulfate,-0.0735374543455717,0.460383396483495,0.895130673470853,-0.0945439396797942,0.349452983471547,0.878574733048664
Creatinine,grey,0.577868893635989,0.046527401947857,M14-Creatinine,0.0959323011997255,0.335071036949353,0.895130673470853,0.0682084725382862,0.500123693616172,0.87871367030389
Dehydroepiandrosterone Sulfate,grey60,0.838082942965515,0.391885460117445,M15-Dehydroepiandrosterone Sulfate,-0.119736459950306,0.228318598782187,0.895130673470853,-0.136184998266732,0.176685266965221,0.878574733048664
Epiandrosterone sulfate,grey60,0.880009366077284,0.525056399966676,M15-Epiandrosterone sulfate,-0.0757064734361658,0.447223792088416,0.895130673470853,-0.112018456831927,0.267172482266336,0.878574733048664
Etiocholanolone sulfate,grey60,0.647556769147846,0.104998733358939,M15-Etiocholanolone sulfate,-0.066281700128813,0.505917309085839,0.895130673470853,-0.0733042741370999,0.468573190959287,0.878574733048664
Glutamic acid,darkred,0.345407257760713,0.00979487576706872,M10-Glutamic acid,0.120628290134763,0.224846936217743,0.895130673470853,0.117359655480124,0.244884229850514,0.878574733048664
Glutamine,grey,-0.18019511807311,0.0271268505472968,M14-Glutamine,-0.134704893725243,0.174904270628393,0.895130673470853,-0.141847295004073,0.159199654422473,0.878574733048664
Hippuric acid,grey,0.201919935266246,0.0168526433393328,M14-Hippuric acid,0.168638481731389,0.0886008781424434,0.895130673470853,0.16031913143657,0.111079488310124,0.878574733048664
Homoserine,grey,0.00110797632055456,0.0341769905970717,M14-Homoserine,-0.0425160772504005,0.66980332543117,0.932126283769128,-0.0538406922576226,0.594709407423972,0.87871367030389
