,module,kME,kIN,rename
3-Indolepropionic acid,grey,0.07888554090544,0.0129069676027673,M14-3-Indolepropionic acid
5a-Dihydrotestosterone sulfate,grey60,0.925859238301807,0.910727388167092,M15-5a-Dihydrotestosterone sulfate
Androsterone sulfate,grey60,0.864054366133552,0.724161880283375,M15-Androsterone sulfate
Creatinine,grey,0.577868893635989,0.046527401947857,M14-Creatinine
Dehydroepiandrosterone Sulfate,grey60,0.838082942965515,0.391885460117445,M15-Dehydroepiandrosterone Sulfate
Epiandrosterone sulfate,grey60,0.880009366077284,0.525056399966676,M15-Epiandrosterone sulfate
Etiocholanolone sulfate,grey60,0.647556769147846,0.104998733358939,M15-Etiocholanolone sulfate
Glutamic acid,darkred,0.345407257760713,0.00979487576706872,M10-Glutamic acid
Glutamine,grey,-0.18019511807311,0.0271268505472968,M14-Glutamine
Hippuric acid,grey,0.201919935266246,0.0168526433393328,M14-Hippuric acid
Homoserine,grey,0.00110797632055456,0.0341769905970717,M14-Homoserine
Indolelactic acid,grey,0.681518665510083,0.0314906224557876,M14-Indolelactic acid
P-cresol sulfate,orange,0.716802006851059,0.243901944990193,M20-P-cresol sulfate
P-cresyl glucuronide,orange,0.714473857339228,0.26726473485179,M20-P-cresyl glucuronide
Phenyl sulfate,orange,0.489600716529028,0.0335971429667346,M20-Phenyl sulfate
phenylacetylglutamine,orange,0.903849021375994,0.0979853195952383,M20-phenylacetylglutamine
Phe-Phe,grey,0.248681197476702,0.0137733635908559,M14-Phe-Phe
Tryptophan,grey,0.287825705946934,0.00807351489132446,M14-Tryptophan
Uric acid,grey,0.556033345488307,0.0232720394170318,M14-Uric acid
FFA 9_0,pink,0.617905687232053,0.0453861981308485,M22-FFA 9_0
FFA 10_0,turquoise,0.755792464041191,0.679220491645539,M31-FFA 10_0
FFA 11_0,turquoise,0.55673803929142,0.415050807529927,M31-FFA 11_0
FFA 12_0,purple,0.515286728512611,0.019496821454688,M23-FFA 12_0
FFA 14_0,purple,0.909090704324541,0.776976911016904,M23-FFA 14_0
FFA 14_1,greenyellow,0.855405965826226,0.61301883645373,M13-FFA 14_1
FFA 15_0,turquoise,0.827465934230287,2.16294188040406,M31-FFA 15_0
FFA 16_0,turquoise,0.896513710267129,2.14996473191217,M31-FFA 16_0
FFA 16_1,greenyellow,0.740260946166821,0.33471806120626,M13-FFA 16_1
FFA 16_2,greenyellow,0.853085808942058,0.723149723699987,M13-FFA 16_2
FFA 16_3,greenyellow,0.909532701512105,0.855436899247314,M13-FFA 16_3
FFA 17_0,turquoise,0.896907341229293,2.93655194690018,M31-FFA 17_0
FFA 17_1,purple,0.886623016922815,1.08896443967731,M23-FFA 17_1
FFA 18_0,turquoise,0.914517412973138,2.36288487304308,M31-FFA 18_0
FFA 18_1,turquoise,0.858650792056296,2.46035411908838,M31-FFA 18_1
FFA 18_2,purple,0.802604088292938,0.908197072752351,M23-FFA 18_2
FFA 18_3,greenyellow,0.754714114009842,0.299827885882005,M13-FFA 18_3
FFA 19_0,turquoise,0.825363418780573,0.862547749224787,M31-FFA 19_0
FFA 19_1,turquoise,0.693301884026626,1.18360778775692,M31-FFA 19_1
FFA 20_0,turquoise,0.813886224919362,1.26826750051222,M31-FFA 20_0
FFA 20_1,purple,0.74977307335195,0.391740909906556,M23-FFA 20_1
FFA 20_2,tan,0.92065134930488,1.0320442689502,M30-FFA 20_2
FFA 20_3,tan,0.808938405303582,0.521546007505424,M30-FFA 20_3
FFA 20_4,greenyellow,0.838722657013736,0.482285158903758,M13-FFA 20_4
FFA 20_5,paleturquoise,0.872707013384843,0.310133777868225,M21-FFA 20_5
FFA 22_0,purple,0.825757614035436,0.884976307310597,M23-FFA 22_0
FFA 22_1,tan,0.521600745311784,0.0957557311248014,M30-FFA 22_1
FFA 22_2,tan,0.969888956199227,1.04887068055494,M30-FFA 22_2
FFA 22_5,paleturquoise,0.866433226495818,0.338910702854888,M21-FFA 22_5
FFA 22_6,paleturquoise,0.961769470708025,0.511689585966248,M21-FFA 22_6
FFA 24_0,turquoise,0.780932184870002,1.17330703609937,M31-FFA 24_0
FFA 24_1,tan,0.847896452929878,0.439334074961808,M30-FFA 24_1
Pyrrolidine,pink,0.703091295732081,0.250015538287679,M22-Pyrrolidine
Valerolactam,grey,-6.03724253938932e-05,0.00467446730737708,M14-Valerolactam
Choline,pink,0.768739018243667,0.109261768114282,M22-Choline
proline,pink,0.640362309102675,0.0528987257320224,M22-proline
leucine,pink,0.846233742296066,0.328311011599217,M22-leucine
