	L-1	L-2	L-3	M-1	M-10	M-11	M-12	M-13	M-14	M-15	M-16	M-17	M-18	M-19	M-2	M-20	M-21	M-22	M-23	M-24	M-25	M-26	M-27	M-28	M-29	M-3	M-30	M-31	M-32	M-33	M-34	M-35	M-4	M-5	M-6	M-7	M-8	M-9
R0108V1	0.0202245214101301	-0.0130074524934492	-0.0101663425568204	-0.00760104907442701	0.00504029969548932	-0.02146619767686	0.0359885241334576	-0.0143397235785881	0.070765075397234	-0.0145018297876397	0.0255975957365073	0.0380576986245541	-0.00952695396518953	0.0193597595217994	-0.0133496559968866	-0.0138370625043053	0.081862979475856	0.065528451421096	-0.00763422289463159	-0.00895822177720684	0.0484233235032453	-0.00356760302329058	0.0395186578892513	0.0196694607819719	0.000602218134497474	0.0240303028672413	-0.0269717730598604	-0.00886599139760864	-0.0239142643180857	-0.0346845189575838	-0.013455995899489	-0.0168818490437503	0.0679453535014241	-0.00778763544362478	0.0381484688848287	0.00174058470825538	-0.0181108946310528	0.0206493253602722
R0115V1	0.0349004555368162	0.0480574601720078	0.0096491191587979	0.0467518543859604	0.0362789652501551	-0.0150461280509501	0.0167092944751442	0.00845745978708147	0.0597271825911256	-0.0320024404326778	0.0465071436658305	-0.0185627835546773	-0.0427519401176813	-0.00789700862935328	0.00526743129578475	0.0371314333011683	-0.0310326934295716	-0.0249712546637282	0.0400737587668529	0.0162621668692336	-0.021473694874796	-0.00329143590566522	-0.0269481812352168	0.0515063830318781	0.027892269427948	0.0348115837660285	-0.0188578965221131	-0.013251642037931	-0.00730991385775872	0.0635672362287895	-0.00959936911156486	-0.042516023701743	-0.0640561481683261	-0.00639919732186574	0.0430141894006375	0.0300037424174637	0.0433458684023222	0.0595957329980185
R0147V1	0.100758065775075	0.0188705799427051	-0.0622898885177052	0.0410901945667288	0.0232697035291777	0.0523834580572864	0.052986375902581	0.07796705354098	0.0964626834218577	-0.0303823666139691	0.0916221648730631	-0.0390158343065908	0.0536207794448717	0.0707870217921521	0.039784907190512	0.0468385008258192	0.0750924744064677	0.150383521925708	0.0279876311556834	0.0675741335591258	0.15010521980427	0.0181131768091565	0.111644803901225	0.1622669165018	-0.00417572307164769	-0.00191032894212519	0.0120154722919252	-0.00199590543841462	0.0236733940802509	0.0718020226128243	0.0066597585903435	-0.0255308698277855	-0.0757845167149334	0.0546520875879	0.0418924243082417	0.0517228648636025	0.0161632584490529	0.145005503714364
R0106V1	0.0472241752466295	0.0101241452678628	-0.0731821545079445	0.00371555170059658	0.0230634509235274	-0.0350558269646521	0.0162256517493095	-0.00234612696296358	-0.0378042300180341	-0.0567032549582092	0.0896646336026289	0.0317081357287624	-0.00396555515138523	-0.00946190218560918	-0.0252087531115588	0.00248511532073617	-0.0395792433292655	0.0413788243604109	-0.00142006371329001	0.0326567111426592	-0.0252729638037954	-0.0345813619772094	0.0172895459333381	0.0502475345583361	0.0278362608468016	0.0316416140578015	-0.0367392553764223	-0.0356163163345029	-0.0325086998070259	-0.0244806294963504	-0.0622690442064429	-0.0559767169127602	0.0501706179139086	-0.064784340435362	0.0257208426670769	-0.000769181305746774	0.0329561912008182	0.0547190076885482
R0138V1	-0.0578500139292629	-0.0329024918141187	0.0216693380239293	0.0258101448405729	0.0103946166343405	-0.0196041953706192	0.0524111456649233	-0.0114701367204336	-0.0398160196144549	0.0409809656181314	0.0112632862870638	-0.016032667320368	-0.00321808461284615	-0.025141910987703	0.0564412077292382	-0.0172991063626643	0.0208957356445407	-0.0584233264481315	-0.00659310452206008	-0.0721219787270259	-0.0128814902302109	0.0143718361324273	-0.0248579909918791	0.00199359486770764	-0.0459143173905885	0.0356681808915942	-0.0360227786539164	-0.00919927827089897	-0.0342045775629585	-0.0123575747334831	-0.0497986079266273	-0.0550123748953611	0.024686256494306	-0.0488148198345743	-0.0343939594996445	0.0414297119056377	-0.0365371111612174	-0.00913800943459662
R0101V1	0.0414739732661285	-0.014677454632982	-0.0639123947534367	0.0216556122636966	-0.0181697512766014	-0.000359889317180953	-0.0337783848582701	-0.0442110533110763	0.0469292962401562	-0.0414355724386065	-0.0178154409006731	0.0274750844937942	-0.0562642920044067	-0.00125067788816846	-0.0316594620773362	-0.0179421607097007	-0.0388932775764995	0.000434644133640982	-0.00688288863507384	0.0243672789203695	-0.0293829002405614	0.00927986888713122	-0.0194395393293739	-0.0416607182118542	-0.00192887989220681	-0.0252207119145166	-0.0256342916337738	-0.0219030797712252	-0.0311284632078169	-0.0280565762197627	-0.0344433816047795	-0.0227479189471629	-0.0369737088182885	0.00921406450657827	-0.0196808021298835	-0.0303230609817465	-0.00987593657130001	-0.0258036624110392
R0105V1	0.0145132525781053	0.0450840596467212	-0.063835816695488	-0.0399800450241946	0.0343202206985953	0.0187155086314356	0.0397450402362442	-0.0059814933573099	-0.000323535149177875	0.0175505369464236	-0.0363468776096016	0.00698287469963668	-0.0296495723552305	0.0933994489731528	0.00347880610757775	-0.0564383746180451	-0.0237673729745596	0.0326952566403297	-0.0551552587939215	-0.00835965340869363	-0.011146759227098	0.016117362943482	0.00498804893885791	-0.00138290073152169	-0.0688926044337972	-0.0147864864242034	0.0371363814342569	-0.00359262740430286	0.0101156352549188	-0.0225581871851105	0.0116126323918344	-0.000706922910610766	0.0706578331554024	-0.0394489415076241	-0.0295843077274432	-0.00247015151824856	-0.0452667879224482	-0.036295459452847
R0146V1	0.0506794229105523	0.0456210608042953	-0.0549212728560291	-0.0538461147920889	-0.00545467951113501	-0.0359522356699701	0.00870936456857944	-0.0147758780747213	-0.0323018953830879	-0.0228103946786679	0.0169170466352889	-0.0445496091333897	-0.0377108325900464	-0.0214551377622252	-0.0369380588376754	-0.0258538926207774	-0.00379138464714162	0.0212235699984139	-0.0270382550987106	-0.0753713916108797	-0.0103439813999481	-0.0464506819097467	-0.0101650805428838	0.0153420641563862	0.0152276265454357	0.122446333514977	0.00317617648807964	-0.0288761154447897	-0.0212168543401073	-0.0166167577768261	0.0113760954073906	-0.0294676071408214	-0.029002468967463	0.0103152293993266	-0.0537367295956369	0.0140925266993449	-0.003498519181077	0.0447169663188022
R0155V1	0.0845207262073278	0.0367737329913471	-0.0476967642988011	-0.0240848499488957	0.029023103680979	0.118174431928981	0.0110744766023741	0.0276987219550964	-0.0140605627445658	-0.00139245933611008	0.060718287526993	-0.00227422678776184	-0.0421591782144372	0.0365264302113725	0.000427586225623947	-0.016465922226466	-0.0280414915680513	0.00396153668066045	-0.023297659989333	-0.0542749660061412	-0.0310522802488934	-0.0155824418322965	-0.0105802573855591	0.0540124717614797	0.0452871038955195	0.0446398187311135	0.044675593358503	0.000714568928434035	-0.00778363294408432	0.0379458582641744	0.0195341558858637	-0.0231518144191948	-0.0234442448032789	-0.0229012290744734	-0.00703263223632735	0.0251874118270168	-0.016346463433682	0.0320084806045536
R0133V1	-0.0524115129446786	-0.0154613495619305	-0.0018011995604869	0.101802256716825	-0.0679920369676868	-0.0161722093658253	-0.0435538573692322	-0.0220804149248777	-0.025922565084498	-0.0548714039045468	-0.0124861323903838	0.0279606829583134	-0.0552800216107855	0.0246978301843129	-0.0518392258303269	0.0319879564577041	0.0730971993946486	0.0156800048038427	0.00957739546565088	-0.0471482574621621	0.0474905095091913	0.0333825484351928	0.0149092567208563	-0.0179172168331697	-0.0273616949439037	-0.0185233134502001	0.0247912590981644	-0.0328181545462896	0.00986210953683183	-0.0439461654549441	-0.0109696362868693	0.00117854717777719	0.021429724238794	0.0586679005673192	-0.0177283741764608	-0.0559200190534383	0.0704133488472979	-0.0398828515127168
