,module,kME,kIN,rename
3-Indolepropionic acid,lightgreen,0.383456614522976,0.023871132548748,M17-3-Indolepropionic acid
5a-Dihydrotestosterone sulfate,cyan,0.919878938569171,0.776616170026492,M4-5a-Dihydrotestosterone sulfate
Androsterone sulfate,cyan,0.88112949857061,0.651469370094343,M4-Androsterone sulfate
Creatinine,yellowgreen,0.768700415378704,0.0300369424466989,M35-Creatinine
Dehydroepiandrosterone Sulfate,cyan,0.811210456963506,0.296929558066178,M4-Dehydroepiandrosterone Sulfate
Epiandrosterone sulfate,cyan,0.858462563376493,0.417532811415809,M4-Epiandrosterone sulfate
Etiocholanolone sulfate,cyan,0.670090891004339,0.112685777236594,M4-Etiocholanolone sulfate
Glutamic acid,red,0.261732229838608,0.0467766177633058,M25-Glutamic acid
Glutamine,grey,0.105097165921817,0.0263182608759029,M14-Glutamine
Hippuric acid,lightgreen,0.574643944601037,0.0594526430378599,M17-Hippuric acid
Homoserine,grey,0.00272134056069109,0.0281732014382365,M14-Homoserine
Indolelactic acid,yellowgreen,0.781113898230571,0.0417733170885921,M35-Indolelactic acid
P-cresol sulfate,lightgreen,0.891398962520922,0.2561757300872,M17-P-cresol sulfate
P-cresyl glucuronide,lightgreen,0.717512129310295,0.153225041768685,M17-P-cresyl glucuronide
Phenyl sulfate,grey,0.0873539472659073,0.00303119255804107,M14-Phenyl sulfate
phenylacetylglutamine,lightgreen,0.817100420106196,0.159495313018076,M17-phenylacetylglutamine
Phe-Phe,grey,-0.0759890455877401,0.00581902705008353,M14-Phe-Phe
Tryptophan,grey,0.039051235407693,0.00350170291837748,M14-Tryptophan
Uric acid,yellowgreen,0.835030426655165,0.0558267783390916,M35-Uric acid
FFA 9_0,darkgreen,0.68463461516406,0.0737932530109255,M5-FFA 9_0
FFA 10_0,darkgreen,0.892214184864104,0.265053410560684,M5-FFA 10_0
FFA 11_0,darkgreen,0.863357636768245,0.198650509675085,M5-FFA 11_0
FFA 12_0,darkgreen,0.692153352267672,0.146678573371789,M5-FFA 12_0
FFA 14_0,red,0.765512954894279,1.68397967157499,M25-FFA 14_0
