	species	species_pct	genus	genus_pct	family	family_pct	order	order_pct	phylum	phylum_pct
T2DCAG00001	NA	NA	Clostridium	84	Clostridiaceae	84	Clostridiales	87	Firmicutes	88
T2DCAG00002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00003	Clostridium clostridioforme	76	Clostridium	88	Clostridiaceae	88	Clostridiales	93	Firmicutes	94
T2DCAG00004	NA	NA	NA	NA	NA	NA	NA	NA	Firmicutes	75
T2DCAG00005	Escherichia coli	86	Escherichia	88	Enterobacteriaceae	100	Enterobacteriales	100	Proteobacteria	100
T2DCAG00006	Lachnospiraceae bacterium	96	Lachnospiraceae	96	NA	NA	NA	NA	NA	NA
T2DCAG00007	Clostridium hathewayi	78	Clostridium	86	Clostridiaceae	86	Clostridiales	89	Firmicutes	90
T2DCAG00008	Klebsiella oxytoca	81	Klebsiella	83	Enterobacteriaceae	84	Enterobacteriales	84	Proteobacteria	84
T2DCAG00009	Clostridium hathewayi	96	Clostridium	98	Clostridiaceae	98	Clostridiales	98	Firmicutes	98
T2DCAG00010	Clostridium symbiosum	99	Clostridium	100	Clostridiaceae	100	Clostridiales	100	Firmicutes	100
T2DCAG00011	Klebsiella pneumoniae	99	Klebsiella	100	Enterobacteriaceae	100	Enterobacteriales	100	Proteobacteria	100
T2DCAG00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00013	NA	NA	NA	NA	NA	NA	Clostridiales	74	Firmicutes	77
T2DCAG00014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00015	NA	NA	NA	NA	NA	NA	Clostridiales	82	Firmicutes	86
T2DCAG00016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00017	Haemophilus parainfluenzae	99	Haemophilus	100	Pasteurellaceae	100	Pasteurellales	100	Proteobacteria	100
T2DCAG00018	Clostridium bolteae	83	Clostridium	90	Clostridiaceae	90	Clostridiales	91	Firmicutes	91
T2DCAG00019	Bacteroides thetaiotaomicron	98	Bacteroides	100	Bacteroidaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00020	Bacteroides fragilis	89	Bacteroides	100	Bacteroidaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00021	NA	NA	Bacteroides	90	Bacteroidaceae	90	Bacteroidales	90	Bacteroidetes	90
T2DCAG00022	Lactobacillus ruminis	72	Lactobacillus	73	Lactobacillaceae	73	Lactobacillales	74	Firmicutes	83
T2DCAG00023	NA	NA	NA	NA	NA	NA	Bacteroidales	88	Bacteroidetes	88
T2DCAG00024	Bacteroides salyersiae	99	Bacteroides	100	Bacteroidaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00025	Lachnospiraceae bacterium	83	Lachnospiraceae	83	NA	NA	Clostridiales	72	Firmicutes	78
T2DCAG00026	Citrobacter freundii	95	Citrobacter	95	Enterobacteriaceae	95	Enterobacteriales	95	Proteobacteria	95
T2DCAG00027	Bacteroides caccae	100	Bacteroides	100	Bacteroidaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00028	NA	NA	Clostridium	70	Clostridiaceae	70	Clostridiales	82	Firmicutes	83
T2DCAG00029	NA	NA	NA	NA	Ruminococcaceae	73	Clostridiales	79	Firmicutes	80
T2DCAG00030	Bacteroides cellulosilyticus	82	Bacteroides	95	Bacteroidaceae	95	Bacteroidales	95	Bacteroidetes	95
T2DCAG00031	Streptococcus parasanguinis	97	Streptococcus	100	Streptococcaceae	100	Lactobacillales	100	Firmicutes	100
T2DCAG00032	Erysipelotrichaceae bacterium	100	Erysipelotrichaceae	100	Clostridiaceae	86	Clostridiales	86	Firmicutes	86
T2DCAG00033	Ruminococcus sp._5_1_39BFAA	99	Ruminococcus	100	Ruminococcaceae	100	Clostridiales	100	Firmicutes	100
T2DCAG00034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00035	NA	NA	NA	NA	NA	NA	Clostridiales	77	Firmicutes	78
T2DCAG00036	Enterobacter cloacae	99	Enterobacter	100	Enterobacteriaceae	100	Enterobacteriales	100	Proteobacteria	100
T2DCAG00037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00038	Enterococcus faecalis	84	Enterococcus	85	Enterococcaceae	85	Lactobacillales	86	Firmicutes	93
T2DCAG00039	NA	NA	NA	NA	Ruminococcaceae	75	Clostridiales	79	Firmicutes	79
T2DCAG00040	Coprobacillus sp._D6	99	Coprobacillus	99	Erysipelotrichaceae	99	Erysipelotrichales	99	Firmicutes	99
T2DCAG00041	NA	NA	Bacteroides	71	Bacteroidaceae	71	Bacteroidales	82	Bacteroidetes	82
T2DCAG00042	Bacteroides fluxus	97	Bacteroides	99	Bacteroidaceae	99	Bacteroidales	99	Bacteroidetes	99
T2DCAG00043	Coprobacillus sp._8_2_54BFAA	82	Coprobacillus	100	Erysipelotrichaceae	100	Erysipelotrichales	100	Firmicutes	100
T2DCAG00044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00045	Parabacteroides merdae	100	Parabacteroides	100	Porphyromonadaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00047	Bacteroides cellulosilyticus	100	Bacteroides	100	Bacteroidaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00048	Bacteroides faecis	100	Bacteroides	100	Bacteroidaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00049	Odoribacter laneus	95	Odoribacter	95	Porphyromonadaceae	95	Bacteroidales	96	Bacteroidetes	96
T2DCAG00050	Bacteroides vulgatus	97	Bacteroides	100	Bacteroidaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00052	Bacteroides fragilis	100	Bacteroides	100	Bacteroidaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00053	NA	NA	Bacteroides	100	Bacteroidaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00054	NA	NA	NA	NA	NA	NA	Bacteroidales	73	Bacteroidetes	73
T2DCAG00055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00056	NA	NA	Bacteroides	87	Bacteroidaceae	87	Bacteroidales	88	Bacteroidetes	88
T2DCAG00057	NA	NA	NA	NA	NA	NA	Bacteroidales	73	Bacteroidetes	73
T2DCAG00058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
T2DCAG00060	Bacteroides uniformis	100	Bacteroides	100	Bacteroidaceae	100	Bacteroidales	100	Bacteroidetes	100
T2DCAG00061	NA	NA	NA	NA	NA	NA	Bacteroidales	74	Bacteroidetes	76
T2DCAG00062	NA	NA	Weissella	70	Leuconostocaceae	70	Lactobacillales	73	Firmicutes	77
T2DCAG00063	Subdoligranulum sp._4_3_54A2FAA	96	Subdoligranulum	96	Ruminococcaceae	96	Clostridiales	97	Firmicutes	97
T2DCAG00064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
