Module_Name	New_Name	Description	Examples
M_MEgrey	M_remaining		
M_MEgrey60	M01	Sugar derivatives	beta-D-galactofuranose
M_MEdarkturquoise	M02	Sugar derivatives	Unknown sugar derivatives
M_MEtan	M03	Phenolic compounds	4-(1,1,3,3,-tetramethylbutyl)phenol
M_MEdarkorange	M04	Amino acids	creatinine
M_MEskyblue	M05	Short-chain hydroxyacids	2-hydroxybutyric acid
M_MElightgreen	M06	Hydroxyacids and sugar derivatives	Shikimic acid
M_MEblue	M07	Sugar derivatives	arabinofuranose
M_MEdarkolivegreen	M08	Sugar derivatives	Unknown sugar derivatives
M_MEdarkred	M09	branched chain keto-acids	2-oxovaleric acid
M_MEgreenyellow	M10	branched chain amino acids, other organic acids	leucine, proline, 2-aminobutyric acid
M_MEdarkgreen	M11	Amino acids	glutamic acid, aspartic acid
M_MEroyalblue	M12	TCA cycle metabolites	pyruvic acid, lactic acid, _-ketoglutaric acid
M_MEturquoise	M13	Amino acids	glucopyranose, glycine
M_MEblack	M14	Amino acids	L-tryptophan, L-cysteine
M_MEviolet	M15	Amino acids	 Arginine
M_MElightyellow	M16	Amino acids	
M_MEsaddlebrown	M17	Carboxylic acids	
M_MEsalmon	M18	Amino acids and carboxylic acids	tryptophan, tyrosine
M_MEcyan	M19	Sugar derivatives and carboxylic acids	
M_MEmagenta	M20	Carboxylic acids and amino acids	Phenylalanine
M_MEorange	M21	Amino acids	threonine, serine
M_MEdarkgrey	M22	Amino acids	phenylalanine, tyrosine, methionine, ornithine
M_MEdarkmagenta	M23	Carboxylic acids and amino acid	
M_MEgreen	M24	Sugar derivatives and carboxylic acids	nonanoic acid
M_MEyellow	M25	Sugar derivatives and amino acids	D-fructose
M_MEbrown	M26	Sugar derivatives	Ribose, ribonic acid
M_MEsteelblue	M27	Amino acids	4-hydroxyproline
M_MElightcyan	M28	Carboxylic acids and phosphate derivatives	arachidonic acid
M_MEmidnightblue	M29	Fatty acids	palmitic acid, stearic acid
M_MEpurple	M30	Fatty acids and other carboxylic acids	oleic acid, linolenic acid, myristic acid
M_MEwhite	M31	Carboxylic acids and phosphate derivative	
M_MEpink	M32	Various organic compounds	Glycerol-2-phosphate, monostearin
M_MEred	M33	Various organic compounds	Cholesterol
M_MEpaleturquoise	M34	Phenolic compounds	
M_MEsienna3	M35	Sugar derivatives	Glyceric acid
L_MEgrey	L_remaining		
L_MEmediumpurple3	L01	Unknown lysoPC/PEs	
L_MEgrey60	L02	DGs, TGs and unknown lysoPC/PEs	DG(40:1), DG(33:5), SM(d18:1/27:3)
L_MEtan	L03	ether PEs	PE(34:3e),PE(40:4e), PE(36:6e)
L_MEthistle1	L04	PEs	PE(40:6)
L_MEplum1	L05	Polyunsaturated TGs	TG(59:5), TG(56:7), TG(50:5)
L_MEsalmon	L06	Unknown ChoEs and TGs	
L_MElightpink4	L07	Cholesterol esters	ChoE(18:3), ChoE(16:0), ChoE(18:2)
L_MEdarkmagenta	L08	PCs	PC(34:2), PC(34:3), PC(36:2)
L_MEdarkorange	L09	SMs and PCs	SM(d18:1/14:0), SM(d18:1/22:1), PC(36:0), PC(38:2)
L_MEbisque4	L10	Polyunsaturated TGs	TG(53:3), TG(54:4), TG(56:3)
L_MEblue	L11	TGs	TG(54:2),TG(54:5), TG(51:1)
L_MEpalevioletred3	L12	Polyunsaturated TGs	 TG(56:6), TG(56:5), TG(58:5)
L_MEwhite	L13	Ether lipids	PC(36:4e), PC(38:5e), PE(38:5e)
L_MEsalmon4	L14	Ceramides and SMs	Cer(d18:1/16:0), SM(d18:1/16:0)
L_MEmaroon	L15	Ether lipids and polyunsatyrated TGs	PC(38:3e), TG(51:6), PC(40:4e), PC(40:4e)
L_MEfloralwhite	L16	Small TGs	TG(46:2), TG(44:1), TG(46:6)
L_MEcyan	L17	LysoPCs and lysoPEs	LysoPC(18:0), LysoPC(16:0), LysoPE(18:2)
L_MEmagenta	L18	PCs and PEs, ether lipids	PE(32:1), PC(34:2e), PC(34:2e), PE(40:7e)
L_MElightsteelblue1	L19		PC(40:3e), SM(d18:1/24:1)
L_MEdarkturquoise	L20		SM(d18:1/26:2)
L_MEdarkgrey	L21	TGs	TG(54:2), TG(56:4), unknown TGs
L_MEviolet	L22	Unknown TGs and ChoEs	
L_MEpaleturquoise	L23	Unknown TGs	
L_MEsteelblue	L24	Unknown TGs	
L_MEroyalblue	L25	Unknown lysoPC/PEs	
L_MEyellow	L26	TGs and PCs	TG(59:7), TG(53:3), PC(40:0)
L_MElightcyan1	L27	Unknown lipids	
L_MElightyellow	L28	Unknown lysoPC/PEs	
L_MEgreen	L29	Micellaneous lipids	PE(40:6), PC(38:1), PC(40:2), TG(50:4)
L_MEsienna3	L30	LysoPCs and lysoPEs	LysoPC(20:4), LysoPC(18:2), LysoPC(18:3)
L_MEdarkred	L31	TGs	TG(46:3), TG(52:0), TG(48:4)
L_MEdarkslateblue	L32	Unknown ChoEs	
L_MEyellowgreen	L33	Unknown ChoEs	
L_MEdarkorange2	L34	PCs and PEs	PC(35:2), PC(37:2), PE(40:3)
L_MEorangered4	L35	PCs	PC(38:5), PC(40:5)
L_MEorange	L36	PCs	PC(40:3), PC(40:4), PC(38:3)
L_MEplum2	L37	Micellaneous lipids containing palmitoleic acid	LysoPC(16:1), ChoE(16:1), PC(34:3)
L_MEdarkolivegreen	L38	Micellaneous lipids containing arachidonic acid	PC(36:4), PC(38:4), ChoE(20:4)
L_MEnavajowhite2	L39	Ether PEs	PE(36:3e), PE(36:2e), PE(38:4e)
