,module,kME,kIN,rename
CAr,grey,0.0537539192143799,0.00166238430921339,L2-CAr
CDCAr,turquoise,-0.100484522314177,0.481091042272909,L3-CDCAr
DCAr,turquoise,0.831697314315873,1.45332070361195,L3-DCAr
GCAr,blue,0.588553317365782,0.145188690695844,L1-GCAr
GCDCAr,blue,0.880489090100344,0.57456818677683,L1-GCDCAr
GDCAr,turquoise,0.845620982477406,1.52029269592823,L3-GDCAr
GLCAr,turquoise,0.674090554859526,0.407821232958999,L3-GLCAr
GUDCAr,grey,0.887835325490895,0.0714687128261022,L2-GUDCAr
LCAr,turquoise,0.696841682174855,0.490212805771917,L3-LCAr
TCAr,blue,0.414190521293847,0.146568883971208,L1-TCAr
TCDCAr,blue,0.695665948478092,0.181687208976007,L1-TCDCAr
TDCAr,turquoise,0.723849103853702,0.718136068754638,L3-TDCAr
TLCAr,turquoise,0.591638099527756,0.135415883884756,L3-TLCAr
TUDCAr,grey,0.693365572528244,0.0370308441754208,L2-TUDCAr
UDCAr,grey,0.676118172048779,0.0421041985756667,L2-UDCAr
conBAr,blue,0.823862120147741,0.39749223482886,L1-conBAr
UNconBAr,turquoise,0.363694767621702,1.13384582246884,L3-UNconBAr
BAr1,turquoise,0.357544058752249,1.08958887316479,L3-BAr1
PrimaryBAr,blue,0.806392338760916,0.786981550599605,L1-PrimaryBAr
SecondaryBAf,turquoise,0.91752383467016,1.88838124044165,L3-SecondaryBAf
BAr2,blue,0.729828622561647,0.646954363972568,L1-BAr2
BA12ar,turquoise,0.88005627285101,2.15801732303163,L3-BA12ar
un12aBAr,blue,0.61955418222431,0.450095224019757,L1-un12aBAr
BAr3,turquoise,0.859091760177102,2.0379870275571,L3-BAr3
BAr4,turquoise,0.688643540934817,0.941195859889204,L3-BAr4
BAr5,turquoise,0.642344864414841,0.913764875562804,L3-BAr5
TBAnonS,grey,0.316940907010178,0.00672586579203172,L2-TBAnonS
TBAS,turquoise,0.469069453963395,0.252058323059178,L3-TBAS
DCA_species,turquoise,0.960061551607167,2.62663301098132,L3-DCA_species
