,module,kME,kIN,rename,HbA1C_estimate,HbA1C_p.value,HbA1C_p.adjust,HbA1C.adj.partial_estimate,HbA1C.adj.partial_p.value,HbA1C.adj.partial_p.adjust
CAr,grey,0.0537539192143799,0.00166238430921339,L2-CAr,-0.0713776376738615,0.153668001702649,0.539789720524984,-0.0931304981393859,0.0634336517745516,0.3679151802924
CDCAr,turquoise,-0.100484522314177,0.481091042272909,L3-CDCAr,-0.0616735710787005,0.217825705166085,0.539789720524984,-0.0756032172308582,0.132146476027342,0.425805311643658
DCAr,turquoise,0.831697314315873,1.45332070361195,L3-DCAr,-0.0213737790538846,0.66958165565547,0.774164778562172,-0.0191980381593543,0.702587300890022,0.796516183048383
GCAr,blue,0.588553317365782,0.145188690695844,L1-GCAr,0.112797315981083,0.0238879322449778,0.319672441397774,0.0989796777172464,0.0484641747607107,0.3679151802924
GCDCAr,blue,0.880489090100344,0.57456818677683,L1-GCDCAr,0.0653292457793233,0.191713023897688,0.539789720524984,0.055599568289761,0.268477587152972,0.707804547948744
GDCAr,turquoise,0.845620982477406,1.52029269592823,L3-GDCAr,-0.00804726310563894,0.872372324302165,0.872372324302165,0.0184188976289584,0.714117957215792,0.796516183048383
GLCAr,turquoise,0.674090554859526,0.407821232958999,L3-GLCAr,-0.0242737318933792,0.627935193591646,0.774164778562172,-0.00868122284336438,0.862927821491463,0.862927821491463
GUDCAr,grey,0.887835325490895,0.0714687128261022,L2-GUDCAr,-0.0207517555168409,0.678653703771775,0.774164778562172,-0.0196221659529948,0.696338889132149,0.796516183048383
LCAr,turquoise,0.696841682174855,0.490212805771917,L3-LCAr,0.00996165976125215,0.842368900014377,0.872372324302165,0.0240170070152904,0.632863966367158,0.796516183048383
TCAr,blue,0.414190521293847,0.146568883971208,L1-TCAr,0.0385572477860748,0.441309167651967,0.71099810343928,0.0306811910356207,0.541658882494751,0.796516183048383
TCDCAr,blue,0.695665948478092,0.181687208976007,L1-TCDCAr,-0.056559985699194,0.258483846075668,0.539789720524984,-0.0496176263175866,0.323464513187252,0.781705906869192
TDCAr,turquoise,0.723849103853702,0.718136068754638,L3-TDCAr,-0.0512111381773531,0.306320940364005,0.555206704409758,-0.0259224223402458,0.606126275485103,0.796516183048383
TLCAr,turquoise,0.591638099527756,0.135415883884756,L3-TLCAr,-0.0483318578774004,0.334350674090158,0.570362914624387,-0.0278847257595157,0.579129499273399,0.796516183048383
TUDCAr,grey,0.693365572528244,0.0370308441754208,L2-TUDCAr,-0.0296845420042185,0.553376929568175,0.774164778562172,-0.0219685233089273,0.662151287135335,0.796516183048383
UDCAr,grey,0.676118172048779,0.0421041985756667,L2-UDCAr,-0.0110833545555694,0.824891582941585,0.872372324302165,-0.0149616714162657,0.766037286020804,0.822780788689012
conBAr,blue,0.823862120147741,0.39749223482886,L1-conBAr,0.0690236689365277,0.167731758621206,0.539789720524984,0.0787934649372768,0.116549773701929,0.422492929669493
UNconBAr,turquoise,0.363694767621702,1.13384582246884,L3-UNconBAr,-0.0690236689365277,0.167731758621206,0.539789720524984,-0.0787934649372768,0.116549773701929,0.422492929669493
BAr1,turquoise,0.357544058752249,1.08958887316479,L3-BAr1,-0.0690236689365277,0.167731758621206,0.539789720524984,-0.0787934649372768,0.116549773701929,0.422492929669493
PrimaryBAr,blue,0.806392338760916,0.786981550599605,L1-PrimaryBAr,0.0541676410865919,0.279201579581888,0.539789720524984,0.0305416619342849,0.543499525366657,0.796516183048383
SecondaryBAf,turquoise,0.91752383467016,1.88838124044165,L3-SecondaryBAf,-0.0541676410865919,0.279201579581888,0.539789720524984,-0.0305416619342849,0.543499525366657,0.796516183048383
BAr2,blue,0.729828622561647,0.646954363972568,L1-BAr2,0.0541676410865919,0.279201579581888,0.539789720524984,0.0305416619342849,0.543499525366657,0.796516183048383
BA12ar,turquoise,0.88005627285101,2.15801732303163,L3-BA12ar,0.0197013546838771,0.694078766986773,0.774164778562172,0.0337551137525582,0.50191114707897,0.796516183048383
un12aBAr,blue,0.61955418222431,0.450095224019757,L1-un12aBAr,-0.0197013546838771,0.694078766986775,0.774164778562172,-0.0337551137525582,0.50191114707897,0.796516183048383
BAr3,turquoise,0.859091760177102,2.0379870275571,L3-BAr3,0.0197013546838771,0.694078766986773,0.774164778562172,0.0337551137525582,0.50191114707897,0.796516183048383
BAr4,turquoise,0.688643540934817,0.941195859889204,L3-BAr4,0.102615600142291,0.0399867481530666,0.319672441397774,0.0964149679165103,0.054618052103405,0.3679151802924
BAr5,turquoise,0.642344864414841,0.913764875562804,L3-BAr5,0.100593694500423,0.0440927505376239,0.319672441397774,0.0942012850423675,0.0604392067148835,0.3679151802924
TBAnonS,grey,0.316940907010178,0.00672586579203172,L2-TBAnonS,0.0601287558084931,0.22959377776835,0.539789720524984,0.0616217175056633,0.219954620887618,0.637868400574091
TBAS,turquoise,0.469069453963395,0.252058323059178,L3-TBAS,0.124483887744233,0.0126057636067865,0.319672441397774,0.118109586630542,0.0184171160798367,0.3679151802924
DCA_species,turquoise,0.960061551607167,2.62663301098132,L3-DCA_species,-0.0262037369086529,0.600848144545846,0.774164778562172,-0.0093967275535767,0.851755794714814,0.862927821491463
